campaign_id,phase,send_at_local,channel,audience,topic,headline,message,cta_text,cta_url,asset_path,priority,status
PASCUA2026,F1,2026-03-06 09:00,facebook_page,publico_general,convocatoria,"Semana Santa 2026 se acerca","Iniciamos camino de preparacion. Consulta horarios oficiales, misal para fieles y registro de voluntariado.","Abrir landing",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html,assets/campana-2026/semanasantahorarios2026.jpeg,alta,PENDING
PASCUA2026,F1,2026-03-07 18:30,facebook_page,publico_general,voluntariado,"Convocatoria de voluntariado","Todavia puedes sumarte en MEC, monaguillos, lectores, coro, ujieres o sacristia.","Registrarme",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#voluntariado,voluntariado-publico-2026.jpeg,alta,PENDING
PASCUA2026,F1,2026-03-09 09:00,facebook_page,publico_general,horarios,"Horarios oficiales 2026","Ya estan disponibles los horarios de Semana Santa en parroquia y capillas.","Ver horarios",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#horarios,assets/campana-2026/semanasantahorarios2026.jpeg,alta,PENDING
PASCUA2026,F1,2026-03-11 12:00,facebook_page,voluntarios,practicas,"Practica de ministerios hoy","Recordatorio: hoy despues de la Santa Misa de 6:00 PM tendremos practica para quienes participaran en Semana Santa.","Confirmar asistencia",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#voluntariado,,media,PENDING
PASCUA2026,F1,2026-03-13 18:30,facebook_page,publico_general,misal,"Misal para fieles","Ya puedes preparar tu participacion liturgica con el Misal para fieles de Semana Santa.","Abrir misal",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#misal,,media,PENDING
PASCUA2026,F1,2026-03-15 20:00,facebook_page,publico_general,ejercicios,"Inician los Ejercicios Espirituales","Del 16 al 20 de marzo: preparacion intensa para Semana Santa, despues de misa de 6:00 PM.","Ver detalles",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#ejercicios,assets/campana-2026/ejercicioscuaresma2026.jpeg,alta,PENDING
PASCUA2026,F2,2026-03-16 09:00,facebook_page,publico_general,ejercicios,"Dia 1 - Ejercicios Espirituales","Hoy comenzamos. Te esperamos despues de misa de 6:00 PM en sede parroquial.","Ubicacion y recursos",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#ejercicios,assets/campana-2026/ejercicioscuaresma2026.jpeg,alta,PENDING
PASCUA2026,F2,2026-03-17 09:00,facebook_page,publico_general,ejercicios,"Dia 2 - Camino cuaresmal","Seguimos en comunidad el itinerario espiritual rumbo a la Pascua.","Ver recursos",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#ejercicios,,media,PENDING
PASCUA2026,F2,2026-03-18 12:00,facebook_page,voluntarios,practicas,"Practica ministerial hoy","Hoy hay practica despues de la Santa Misa de 6:00 PM para equipos liturgicos.","Ir a registro",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#voluntariado,,alta,PENDING
PASCUA2026,F2,2026-03-18 18:30,facebook_page,publico_general,ejercicios,"Dia 3 - Ejercicios Espirituales","Continua la preparacion de Cuaresma. Hoy despues de misa de 6:00 PM.","Ver introduccion",https://88aj.github.io/pascua-2026/landing-publico-semana-santa-2026.html#ejercicios,,media,PENDING
